long,lat
35.6839,36.6839
-6.2146,-5.2146
28.6667,29.6667
14.6,15.6
-23.5504,-22.5504
37.56,38.56
19.0758,20.0758
31.1667,32.1667
19.4333,20.4333
23.1288,24.1288
30.0444,31.0444
39.904,40.904
40.6943,41.6943
22.5727,23.5727
55.7558,56.7558
13.75,14.75
23.7289,24.7289
-34.5997,-33.5997
34.752,35.752
6.45,7.45
41.01,42.01
24.86,25.86
-4.3317,-3.3317
22.535,23.535
12.9791,13.9791
10.8167,11.8167
35.7,36.7
34.1139,35.1139
-22.9083,-21.9083
30.66,31.66
38.8671,39.8671
13.0825,14.0825
31.5497,32.5497
51.5072,52.5072
48.8566,49.8566
39.1467,40.1467
35.0606,36.0606
38.0422,39.0422
34.7492,35.7492
32.9987,33.9987
17.3617,18.3617
30.5872,31.5872
36.6116,37.6116
35.1167,36.1167
36.7167,37.7167
-12.06,-11.06
33.625,34.625
-8.8383,-7.8383
25.8292,26.8292
34.261,35.261
3.1478,4.1478
41.8373,42.8373
35.2333,36.2333
29.55,30.55
21.0245,22.0245
32.8986,33.8986
28.1987,29.1987
23.0475,24.0475
35.4,36.4
36.6667,37.6667
18.5196,19.5196
23.0292,24.0292
4.6126,5.6126
23.03,24.03
32.05,33.05
43.9,44.9
39.6292,40.6292
38.3037,39.3037
-6.8,-5.8
31.8639,32.8639
22.3069,23.3069
27.2418,28.2418
21.1967,22.1967
34.4259,35.4259
31.9829,32.9829
33.3936,34.3936
22.8192,23.8192
26.8968,27.8968
32.9773,33.9773
41.8039,42.8039
37.0659,38.0659
34.2667,35.2667
-33.45,-32.45
37.3997,38.3997
24.65,25.65
34.6587,35.6587
25.0433,26.0433
28.4419,29.4419
30.25,31.25
27.3019,28.3019
24.9139,25.9139
25.7839,26.7839
31.5667,32.5667
30.45,31.45
21.6618,22.6618
30.7991,31.7991
27.705,28.705
25.5102,26.5102
33.35,34.35
32.1264,33.1264
23.5533,24.5533
15.6031,16.6031
40.4167,41.4167
25.45,26.45
22.6293,23.6293
29.0397,30.0397
36.45,37.45
36.1167,37.1167
32.7936,33.7936
35.2992,36.2992
32.0654,33.0654
40.0077,41.0077
29.987,30.987
31.7542,32.7542
27.3328,28.3328
27.8041,28.8041
37.4513,38.4513
-1.2864,-0.2864
28.6842,29.6842
36.2001,37.2001
31.2152,32.2152
29.7863,30.7863
20.6767,21.6767
26.4515,27.4515
33.7627,34.7627
16.795,17.795
43.7417,44.7417
46.6384,47.6384
59.95,60.95
38.9047,39.9047
47.3398,48.3398
33.6333,34.6333
23.3735,24.3735
34.4996,35.4996
31.8122,32.8122
1.3,2.3
26.0769,27.0769
31.2231,32.2231
-19.9281,-18.9281
24.5093,25.5093
35.0304,36.0304
31.304,32.304
34.35,35.35
25.2667,26.2667
32.4831,33.4831
5.3364,6.3364
27.5494,28.5494
27.1172,28.1172
30.9273,31.9273
33.735,34.735
29.7048,30.7048
21.17,22.17
26.5794,27.5794
31.2,32.2
33.8626,34.8626
-33.865,-32.865
23.1115,24.1115
33.5,34.5
25.7989,26.7989
41.3825,42.3825
30.5,31.5
33.9331,34.9331
42.3188,43.3188
22.5833,23.5833
31.4669,32.4669
45.75,46.75
34.7936,35.7936
-37.8136,-36.8136
36.7831,37.7831
38.9,39.9
37.7348,38.7348
28.7596,29.7596
32.3912,33.3912
2.3528,3.3528
-26.2044,-25.2044
28.5833,29.5833
23.0961,24.0961
34.5906,35.5906
24.2998,25.2998
33.5992,34.5992
39.5196,40.5196
40.8108,41.8108
42.2663,43.2663
36.0812,37.0812
34.0244,35.0244
34.5328,35.5328
33.5722,34.5722
28.8918,29.8918
37.8733,38.8733
23.05,24.05
30.7083,31.7083
24.4797,25.4797
27.9814,28.9814
24.3264,25.3264
27.8407,28.8407
31.95,32.95
21.5428,22.5428
32.3062,33.3062
27.7378,28.7378
31.1289,32.1289
23.6842,24.6842
12,13
31.334,32.334
47.6211,48.6211
35.4333,36.4333
37.3806,38.3806
34.3609,35.3609
34.8667,35.8667
29.5872,30.5872
23.901,24.901
52.5167,53.5167
41.1066,42.1066
36.0617,37.0617
35.7639,36.7639
37.7562,38.7562
35.229,36.229
24.6928,25.6928
45.5089,46.5089
42.3834,43.3834
40.9739,41.9739
35.1,36.1
36.7764,37.7764
33.0794,34.0794
32.6351,33.6351
26.847,27.847
43.1715,44.1715
38.2655,39.2655
36.1953,37.1953
21.95,22.95
31.8576,32.8576
34.5809,35.5809
22.5333,23.5333
30.5098,31.5098
29.5854,30.5854
32.8312,33.8312
31.418,32.418
30.4673,31.4673
27.7233,28.7233
32.9354,33.9354
-17.7892,-16.7892
39.9398,40.9398
43.6172,44.6172
41.1144,42.1144
32.2109,33.2109
43.8225,44.8225
23.7503,24.7503
26.9167,27.9167
38.4178,39.4178
23.4833,24.4833
9.0272,10.0272
41.5757,42.5757
-15.7939,-14.7939
36.3069,37.3069
24.8011,25.8011
29.375,30.375
22.7664,23.7664
14.6333,15.6333
44.9635,45.9635
50.45,51.45
15.35,16.35
30.0575,31.0575
14.6099,15.6099
37.4639,38.4639
26.6617,27.6617
27.9942,28.9942
46.5979,47.5979
25.4394,26.4394
-6.95,-5.95
-7.2458,-6.2458
-12.9708,-11.9708
39.7621,40.7621
41.8931,42.8931
-16.4942,-15.4942
40.8151,41.8151
27.8431,28.8431
39.03,40.03
24.15,25.15
37.5,38.5
35.4164,36.4164
44.5861,45.5861
22.6167,23.6167
-2.19,-1.19
42.2841,43.2841
26.4725,27.4725
35.5806,36.5806
25.0478,26.0478
26.6448,27.6448
29.3498,30.3498
23.67,24.67
40.6562,41.6562
26.0819,27.0819
25.0881,26.0881
32.6877,33.6877
25.1211,26.1211
40.7094,41.7094
-18.9386,-17.9386
30.1256,31.1256
22.335,23.335
18.4764,19.4764
26.2658,27.2658
33.535,34.535
40.6501,41.6501
21.8556,22.8556
46.8081,47.8081
7.3964,8.3964
33.583,34.583
23.8864,24.8864
6.2447,7.2447
30.9475,31.9475
22.9242,23.9242
25.2697,26.2697
25.15,26.15
41.3,42.3
32.4353,33.4353
3.44,4.44
30.2018,31.2018
12.3686,13.3686
35.8667,36.8667
-3.7275,-2.7275
3.8578,4.8578
